"역번호",역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
95,다대포해수욕장,S2601,부산도시철도 1호선,Dadaepo Beach,多大浦海水浴場,일반역,,,35.089951,128.973971,부산교통공사,부산광역시 사하구 다대로 지하 692,051-678-6195,2019-05-20
96,다대포항역,S2601,부산도시철도 1호선,Dadaepo Harbor,多大浦港,일반역,,,35.081631,128.977636,부산교통공사,부산광역시 사하구 다대로 지하 548,051-678-6196,2019-05-20
97,낫개역,S2601,부산도시철도 1호선,Natgae,羅 浦,일반역,,,35.074433,128.977041,부산교통공사,부산광역시 사하구 다대로 지하 422,051-678-6197,2019-05-20
98,신장림역,S2601,부산도시철도 1호선,Sinjangnim,新長林,일반역,,,35.065265,128.979873,부산교통공사,부산광역시 사하구 다대로 지하 310,051-678-6198,2019-05-20
99,장림역,S2601,부산도시철도 1호선,Jangnim,長林,일반역,,,35.057419,128.971279,부산교통공사,부산광역시 사하구 다대로 지하 230,051-618-6199,2019-05-20
100,동매역,S2601,부산도시철도 1호선,Dongmae,東 山,일반역,,,35.048621,128.965908,부산교통공사,부산광역시 사하구 신산로 지하 168,051-618-6100,2019-05-20
101,신평역,S2601,부산도시철도 1호선,Sinpyeong,新平,일반역,,,35.095179,128.960564,부산교통공사,부산광역시 사하구 하신번영로 140,051-678-6101,2019-05-20
102,하단역,S2601,부산도시철도 1호선,Hadan,下端,일반역,,,35.106180,128.966803,부산교통공사,부산광역시 사하구 낙동남로 지하 1415,051-678-6102,2019-05-20
103,당리역,S2601,부산도시철도 1호선,Dangni,堂里,일반역,,,35.103532,128.973846,부산교통공사,부산광역시 사하구 낙동대로 지하 405,051-678-6103,2019-05-20
104,사하역,S2601,부산도시철도 1호선,Saha,沙下,일반역,,,35.099847,128.983100,부산교통공사,부산광역시 사하구 낙동대로 지하 309,051-678-6104,2019-05-20
105,괴정역,S2601,부산도시철도 1호선,Goejeong,槐亭,일반역,,,35.099816,128.992144,부산교통공사,부산광역시 사하구 낙동대로 지하 221,051-678-6105,2019-05-20
106,대티역,S2601,부산도시철도 1호선,Daeti,大峙,일반역,,,35.103126,128.999936,부산교통공사,부산광역시 사하구 낙동대로 지하 141,051-678-6106,2019-05-20
107,서대신역,S2601,부산도시철도 1호선,Seodaesin,西大新,일반역,,,35.110937,129.012178,부산교통공사,부산광역시 서구 대영로 지하 1,051-678-6107,2019-05-20
108,동대신역,S2601,부산도시철도 1호선,Dongdaesin,東大新,일반역,,,35.110452,129.017684,부산교통공사,부산광역시 서구 구덕로 지하 290,051-678-6108,2019-05-20
109,토성역,S2601,부산도시철도 1호선,Toseong,土城,일반역,,,35.100727,129.019776,부산교통공사,부산광역시 서구 구덕로 지하 170,051-678-6109,2019-05-20
110,자갈치역,S2601,부산도시철도 1호선,Jagalchi,札其,일반역,,,35.097372,129.026670,부산교통공사,부산광역시 중구 구덕로 지하 80,051-678-6110,2019-05-20
111,남포역,S2601,부산도시철도 1호선,Nampo,南浦,일반역,,,35.097953,129.034869,부산교통공사,부산광역시 중구 구덕로 지하 12,051-678-6111,2019-05-20
112,중앙역,S2601,부산도시철도 1호선,Jungang,中央,일반역,,,35.103837,129.036371,부산교통공사,부산광역시 중구 중앙대로 지하 83,051-678-6112,2019-05-20
113,부산역,S2601,부산도시철도 1호선,Busan Station,釜山驛,일반역,,,35.115224,129.039700,부산교통공사,부산광역시 동구 중앙대로 지하 200,051-678-6113,2019-05-20
114,초량역,S2601,부산도시철도 1호선,Choryang,草梁,일반역,,,35.121168,129.043039,부산교통공사,부산광역시 동구 중앙대로 지하 264,051-678-6114,2019-05-20
115,부산진역,S2601,부산도시철도 1호선,Busanjin,釜山鎭,일반역,,,35.127787,129.047894,부산교통공사,부산광역시 동구 중앙대로 지하 350,051-678-6115,2019-05-20
116,좌천역,S2601,부산도시철도 1호선,Jwacheon,佐川,일반역,,,35.134361,129.054455,부산교통공사,부산광역시 동구 중앙대로 지하 446,051-678-6116,2019-05-20
117,범일역,S2601,부산도시철도 1호선,Beomil,凡一,일반역,,,35.140952,129.059352,부산교통공사,부산광역시 동구 범일로 지하 108,051-678-6117,2019-05-20
118,범내골역,S2601,부산도시철도 1호선,Beomnaegol,凡內谷,일반역,,,35.147400,129.059261,부산교통공사,부산광역시 부산진구 중앙대로 지하 612,051-678-6118,2019-05-20
119,서면역(1호선),S2601,부산도시철도 1호선,Seomyeon,西 面,환승역,S2601+S2602,부산도시철도 1호선+부산도시철도 2호선,35.158282,129.059556,부산교통공사,부산광역시 부산진구 중앙대로 지하 730,051-678-6119,2019-05-20
120,부전역,S2601,부산도시철도 1호선,Bujeon,釜田,일반역,,,35.162587,129.062952,부산교통공사,부산광역시 부산진구 중앙대로 지하 786,051-678-6120,2019-05-20
121,양정역,S2601,부산도시철도 1호선,Yangjeong,楊亭,일반역,,,35.173122,129.071366,부산교통공사,부산광역시 부산진구 중앙대로 지하 930,051-678-6121,2019-05-20
122,시청역,S2601,부산도시철도 1호선,City Hall,市廳,일반역,,,35.179837,129.076642,부산교통공사,부산광역시 연제구 중앙대로 지하 1017,051-678-6122,2019-05-20
123,연산역,S2601,부산도시철도 1호선,Yeonsan,蓮山,환승역,S2601+S2603,부산도시철도 1호선+부산도시철도 3호선,35.186168,129.081534,부산교통공사,부산광역시 연제구 중앙대로 지하 1101,051-678-6123,2019-05-20
124,교대역,S2601,부산도시철도 1호선,Busan Nat''''''''l Univ. of Edu.,釜山敎育大學校,일반역,,,35.196050,129.080035,부산교통공사,부산광역시 연제구 중앙대로 지하 1217,051-678-6124,2019-05-20
125,동래역,S2601,부산도시철도 1호선,Dongnae,東萊,일반역,,,35.205641,129.078506,부산교통공사,부산광역시 동래구 중앙대로 1324,051-678-6125,2019-05-20
126,명륜역,S2601,부산도시철도 1호선,Myeongnyun,明倫,일반역,,,35.212551,129.079659,부산교통공사,부산광역시 동래구 중앙대로 1414,051-678-6126,2019-05-20
127,온천장역,S2601,부산도시철도 1호선,Oncheonjang,溫泉場,일반역,,,35.220249,129.086437,부산교통공사,부산광역시 동래구 중앙대로 1520,051-678-6127,2019-05-20
128,부산대역,S2601,부산도시철도 1호선,Pusan Nat''''''''l Univ.,釜山大學校,일반역,,,35.229609,129.089358,부산교통공사,부산광역시 금정구 장전온천천로 48,051-678-6128,2019-05-20
129,장전역,S2601,부산도시철도 1호선,Jangjeon,長箭,일반역,,,35.2380909507,129.088111,부산교통공사,부산광역시 금정구 장전온천천로 144,051-678-6129,2019-05-20
130,구서역,S2601,부산도시철도 1호선,Guseo,久瑞,일반역,,,35.247407,129.091327,부산교통공사,부산광역시 금정구 금정로 233번길 46,051-678-6130,2019-05-20
131,두실역,S2601,부산도시철도 1호선,Dusil,斗實,일반역,,,35.256959,129.091386,부산교통공사,부산광역시 금정구 중앙대로 지하 1927-1,051-678-6131,2019-05-20
132,남산역,S2601,부산도시철도 1호선,Namsan,南山,일반역,,,35.265404,129.092496,부산교통공사,부산광역시 금정구 중앙대로 지하 2019-1,051-678-6132,2019-05-20
133,범어사역,S2601,부산도시철도 1호선,Beomeosa,梵魚寺,일반역,,,35.273105,129.092679,부산교통공사,부산광역시 금정구 중앙대로 지하 2107,051-678-6133,2019-05-20
134,노포역,S2601,부산도시철도 1호선,Nopo,老圃,일반역,,,35.2846865668,129.094967,부산교통공사,부산광역시 금정구 중앙대로 2238,051-678-6134,2019-05-20
201,장산역,S2602,부산도시철도 2호선,Jangsan,山,일반역,,,35.169914,129.176986,부산교통공사,부산광역시 해운대구 해운대로 지하 820,051-678-6201,2019-05-20
2020,중동역,S2602,부산도시철도 2호선,Jung-dong,中洞,일반역,,,35.166700,129.168604,부산교통공사,부산광역시 해운대구 해운대로 지하 730,051-678-6202,2019-05-20
203,해운대역,S2602,부산도시철도 2호선,Haeundae,海雲臺,일반역,,,35.163672,129.158908,부산교통공사,부산광역시 해운대구 해운대로 지하 626,051-678-6203,2019-05-20
204,동백역,S2602,부산도시철도 2호선,Dongbaek,冬柏,일반역,,,35.161484,129.147897,부산교통공사,부산광역시 해운대구 해운대로 지하 522,051-678-6204,2019-05-20
205,시립미술관역,S2602,부산도시철도 2호선,Busan Museum of Art,市立美術館,일반역,,,35.168844,129.138933,부산교통공사,부산광역시 해운대구 해운대로 지하 396,051-678-6205,2019-05-20
206,센텀시티역,S2602,부산도시철도 2호선,Centum City,Centum City,일반역,,,35.168827,129.131745,부산교통공사,부산광역시 해운대구 센텀남대로 지하 76,051-678-6206,2019-05-20
207,민락역,S2602,부산도시철도 2호선,Millak,民樂,일반역,,,35.167228,129.121909,부산교통공사,부산광역시 수영구 수영로 지하 769,051-678-6207,2019-05-20
208,수영역,S2602,부산도시철도 2호선,Suyeong,水營,환승역,S2602+S2603,부산도시철도 2호선+부산도시철도 3호선,35.165227,129.114713,부산교통공사,부산광역시 수영구 수영로 지하 677,051-678-6208,2019-05-20
209,광안역,S2602,부산도시철도 2호선,Gwangan,廣安,일반역,,,35.157916,129.113168,부산교통공사,부산광역시 수영구 수영로 지하 576,051-678-6209,2019-05-20
210,금련산역,S2602,부산도시철도 2호선,Geumnyeonsan,金蓮山,일반역,,,35.149771,129.110961,부산교통공사,부산광역시 수영구 수영로 지하 482,051-678-6210,2019-05-20
211,남천역,S2602,부산도시철도 2호선,Namcheon,南川,일반역,,,35.142139,129.107978,부산교통공사,부산광역시 수영구 수영로 지하 410,051-678-6211,2019-05-20
212,경성대부경대역,S2602,부산도시철도 2호선,Kyungsung Univ. Pukyong Nat''''''''l Univ.,慶星大釜慶大,일반역,,,35.137585,129.100548,부산교통공사,부산광역시 남구 수영로 지하 324,051-678-6212,2019-05-20
213,대연역,S2602,부산도시철도 2호선,Daeyeon,大淵,일반역,,,35.135153,129.092161,부산교통공사,부산광역시 남구 수영로 지하 242,051-678-6213,2019-05-20
214,못골역,S2602,부산도시철도 2호선,Motgol,池谷,일반역,,,35.134731,129.084415,부산교통공사,부산광역시 남구 수영로 지하 170,051-678-6214,2019-05-20
215,지게골역,S2602,부산도시철도 2호선,Jigegol,支架谷,일반역,,,35.135574,129.074365,부산교통공사,부산광역시 남구 수영로 지하 70,051-678-6215,2019-05-20
216,문현역,S2602,부산도시철도 2호선,Munhyeon,門峴,일반역,,,35.139151,129.067399,부산교통공사,부산광역시 남구 전포대로 지하 17,051-678-6216,2019-05-20
217,국제금융센터부산은행역,S2602,부산도시철도 2호선,Busan Int''''''''l Finance Center Busan Bank,釜山國際金融中心·釜山銀行,일반역,,,35.145817,129.066755,부산교통공사,부산광역시 남구 전포대로 지하 97,051-678-6217,2019-05-20
218,전포역,S2602,부산도시철도 2호선,Jeonpo,田浦,일반역,,,35.153102,129.065374,부산교통공사,부산광역시 부산진구 전포대로 지하 181,051-678-6218,2019-05-20
219,서면역(2호선),S2602,부산도시철도 2호선,Seomyeon,西面,환승역,S2602+S2601,부산도시철도 2호선+부산도시철도 1호선,35.157740,129.059084,부산교통공사,부산광역시 부산진구 중앙대로 지하 730,051-678-6219,2019-05-20
220,부암역,S2602,부산도시철도 2호선,Buam,釜岩,일반역,,,35.157444,129.050185,부산교통공사,부산광역시 부산진구 가야대로 지하 719,051-678-6220,2019-05-20
221,가야역,S2602,부산도시철도 2호선,Gaya,伽倻,일반역,,,35.155883,129.042817,부산교통공사,부산광역시 부산진구 가야대로 지하 650,051-678-6221,2019-05-20
222,동의대역,S2602,부산도시철도 2호선,Dongeui Univ.,東義大,일반역,,,35.153986,129.032750,부산교통공사,부산광역시 부산진구 가야대로 지하 554,051-678-6222,2019-05-20
223,개금역,S2602,부산도시철도 2호선,Gaegeum,開琴,일반역,,,35.153284,129.020533,부산교통공사,부산광역시 부산진구 가야대로 지하 442,051-678-6223,2019-05-20
224,냉정역,S2602,부산도시철도 2호선,Naengjeong,冷井,일반역,,,35.151254,129.012255,부산교통공사,부산광역시 사상구 가야대로 지하 362-1,051-678-6224,2019-05-20
225,주례역,S2602,부산도시철도 2호선,Jurye,周禮,일반역,,,35.150508,129.003077,부산교통공사,부산광역시 사상구 가야대로 지하 292,051-678-6225,2019-05-20
226,감전역,S2602,부산도시철도 2호선,Gamjeon,甘田,일반역,,,35.155528,128.991146,부산교통공사,부산광역시 사상구 사상로 지하 93-1,051-678-6226,2019-05-20
227,사상역,S2602,부산도시철도 2호선,Sasang,沙上,환승역,S2602+L4801,부산도시철도 2호선+김해경전철,35.162361,128.984621,부산교통공사,부산광역시 사상구 사상로 지하 203,051-678-6227,2019-05-20
228,덕포역,S2602,부산도시철도 2호선,Deokpo,德浦,일반역,,,35.173754,128.983955,부산교통공사,부산광역시 사상구 사상로 지하 320-1,051-678-6228,2019-05-20
229,모덕역,S2602,부산도시철도 2호선,Modeok,毛德,일반역,,,35.180366,128.985621,부산교통공사,부산광역시 사상구 사상로 지하 409,051-678-6229,2019-05-20
230,모라역,S2602,부산도시철도 2호선,Mora,毛羅,일반역,,,35.189663,128.988655,부산교통공사,부산광역시 사상구 사상로 지하 498,051-678-6230,2019-05-20
231,구남역,S2602,부산도시철도 2호선,Gunam,龜南,일반역,,,35.196804,128.994928,부산교통공사,부산광역시 북구 백양대로 지하 1026,051-678-6231,2019-05-20
232,구명역,S2602,부산도시철도 2호선,Gumyeong,龜明,일반역,,,35.202520,128.999322,부산교통공사,부산광역시 북구 백양대로 지하 1094,051-678-6232,2019-05-20
233,덕천역(2호선),S2602,부산도시철도 2호선,Deokcheon,德川,환승역,S2602+S2603,부산도시철도 2호선+부산도시철도 3호선,35.210219,129.005673,부산교통공사,부산광역시 북구 금곡대로 지하 14,051-678-6233,2019-05-20
234,수정역,S2602,부산도시철도 2호선,Sujeong,水亭,일반역,,,35.223356,129.009198,부산교통공사,부산광역시 북구 금곡대로 지하 160,051-678-6234,2019-05-20
235,화명역,S2602,부산도시철도 2호선,Hwamyeong,華明,일반역,,,35.236278,129.013918,부산교통공사,부산광역시 북구 금곡대로 지하 311,051-678-6235,2019-05-20
236,율리역,S2602,부산도시철도 2호선,Yulli,栗里,일반역,,,35.246714,129.012918,부산교통공사,부산광역시 북구 금곡대로 지하 440,051-678-6236,2019-05-20
237,동원역,S2602,부산도시철도 2호선,Dongwon,東院,일반역,,,35.258656,129.012392,부산교통공사,부산광역시 북구 금곡대로 575,051-678-6237,2019-05-20
238,금곡역,S2602,부산도시철도 2호선,Geumgok,金谷,일반역,,,35.267248,129.016905425,부산교통공사,부산광역시 북구 금곡대로 685,051-678-6238,2019-05-20
239,호포역,S4802,부산도시철도 2호선,Hopo,湖浦,일반역,,,35.280406,129.017097,부산교통공사,경상남도 양산시 동면 양산대로 62,051-678-6239,2019-05-20
240,증산역,S4802,부산도시철도 2호선,Jeungsan,甑山,일반역,,,35.308302,129.010246,부산교통공사,경상남도 양산시 물금읍 메기로 168,051-678-6240,2019-05-20
241,부산대양산캠퍼스역,S4802,부산도시철도 2호선,Pusan Nat''''''''l Univ. Yangsan Campus,釜山大梁山Campus,일반역,,,35.316955,129.013940831,부산교통공사,경상남도 양산시 물금읍 메기로 270,051-678-6241,2019-05-20
242,남양산역,S4802,부산도시철도 2호선,Namyangsan,南梁山,일반역,,,35.325359,129.019457,부산교통공사,경상남도 양산시 동면 메기로 380,051-678-6242,2019-05-20
243,양산역,S4802,부산도시철도 2호선,Yangsan,梁山,일반역,,,35.3387277341,129.026391,부산교통공사,경상남도 양산시 강변로 441,051-678-6243,2019-05-20
301,수영역(3호선),S2603,부산도시철도 3호선,Suyeong,水營,환승역,S2603+S2602,부산도시철도 3호선+부산도시철도 2호선,35.167753,129.114590,부산교통공사,부산광역시 수영구 수영로 지하 677,051-678-6301,2019-05-20
302,망미역,S2603,부산도시철도 3호선,Mangmi,望美,일반역,,,35.171528,129.108225,부산교통공사,부산광역시 수영구 연수로 지하 337,051-678-6302,2019-05-20
303,배산역,S2603,부산도시철도 3호선,Baesan,盃山,일반역,,,35.173504,129.095498,부산교통공사,부산광역시 연제구 연수로 지하 229,051-678-6303,2019-05-20
304,물만골역,S2603,부산도시철도 3호선,Mulmangol,水滿谷,일반역,,,35.176808,129.085748,부산교통공사,부산광역시 연제구 월드컵대로 지하 23,051-678-6304,2019-05-20
305,연산역(3호선),S2603,부산도시철도 3호선,Yeonsan,蓮山,환승역,S2603+S2601,부산도시철도 3호선+부산도시철도 1호선,35.186173,129.081526,부산교통공사,부산광역시 연제구 중앙대로 지하 1101,051-678-6305,2019-05-20
306,거제역,S2603,부산도시철도 3호선,Geoje,巨堤,일반역,,,35.188589,129.073941,부산교통공사,부산광역시 연제구 월드컵대로 지하 209,051-678-6306,2019-05-20
307,종합운동장역,S2603,부산도시철도 3호선,Sports Complex,綜合運動場,일반역,,,35.191250,129.067504,부산교통공사,부산광역시 연제구 아시아드대로 지하 73,051-678-6307,2019-05-20
308,사직역,S2603,부산도시철도 3호선,Sajik,社稷,일반역,,,35.198998,129.064996,부산교통공사,부산광역시 동래구 아시아드대로 지하 153,051-678-6308,2019-05-20
309,미남역(3호선),S2603,부산도시철도 3호선,Minam,美南,환승역,S2603+S2604,부산도시철도 3호선+부산도시철도 4호선,35.205503,129.068061,부산교통공사,부산광역시 동래구 아시아드대로 지하 232,051-678-6309,2019-05-20
310,만덕역,S2603,부산도시철도 3호선,Mandeok,萬德,일반역,,,35.213000,129.036527,부산교통공사,부산광역시 북구 만덕대로 지하 291,051-678-6310,2019-05-20
311,남산정역,S2603,부산도시철도 3호선,Namsanjeong,南山亭,일반역,,,35.213340,129.023928,부산교통공사,부산광역시 북구 만덕대로 지하 179,051-678-6311,2019-05-20
312,숙등역,S2603,부산도시철도 3호선,Sukdeung,淑嶝,일반역,,,35.211970,129.012749,부산교통공사,부산광역시 북구 만덕대로 지하 79,051-678-6312,2019-05-20
313,덕천역(3호선),S2603,부산도시철도 3호선,Deokcheon,德川,환승역,S2603+S2602,부산도시철도 3호선+부산도시철도 2호선,35.210215,129.005671,부산교통공사,부산광역시 북구 금곡대로 지하 14,051-678-6313,2019-05-20
314,구포역,S2603,부산도시철도 3호선,Gupo,龜浦,일반역,,,35.206697,128.996366,부산교통공사,부산광역시 북구 낙동대로 1697,051-678-6314,2019-05-20
315,강서구청역,S2603,부산도시철도 3호선,Gangseo-gu Office,江西區廳,일반역,,,35.211247,128.981756,부산교통공사,부산광역시 강서구 낙동북로 485,051-678-6315,2019-05-20
316,체육공원역,S2603,부산도시철도 3호선,Sports Park,體育公園,일반역,,,35.212577,128.9696515,부산교통공사,부산광역시 강서구 낙동북로 371,051-678-6316,2019-05-20
317,대저역,S2603,부산도시철도 3호선,Daejeo,大渚,일반역,,,35.213386,128.961048803,부산교통공사,부산광역시 강서구 낙동북로 295,051-678-6317,2019-05-20
401,미남역(4호선),S2604,부산도시철도 4호선,Minam,美南,환승역,S2604+S2603,부산도시철도 4호선+부산도시철도 3호선,35.207116,129.069172,부산교통공사,부산광역시 동래구 아시아드대로 지하 232,051-678-6401,2019-05-20
402,동래역(4호선),S2604,부산도시철도 4호선,Dongnae,東萊,환승역,S2604+S2601,부산도시철도 4호선+부산도시철도 1호선,35.204834,129.077082,부산교통공사,부산광역시 동래구 충렬대로 지하 147,051-678-6402,2019-05-20
403,수안역,S2604,부산도시철도 4호선,Suan,壽安,일반역,,,35.201828,129.083806,부산교통공사,부산광역시 동래구 충렬대로 지하 223,051-678-6403,2019-05-20
404,낙민역,S2604,부산도시철도 4호선,Nangmin,樂民,일반역,,,35.200254,129.090774,부산교통공사,부산광역시 동래구 충렬대로 지하 285,051-678-6404,2019-05-20
405,충렬사역,S2604,부산도시철도 4호선,Chungnyeolsa,忠烈祠,일반역,,,35.199859,129.097636,부산교통공사,부산광역시 동래구 반송로 지하 205,051-678-6405,2019-05-20
406,명장역,S2604,부산도시철도 4호선,Myeongjang,鳴藏,일반역,,,35.205143,129.101517,부산교통공사,부산광역시 동래구 반송로 지하 281,051-678-6406,2019-05-20
407,서동역,S2604,부산도시철도 4호선,Seo-dong,書洞,일반역,,,35.213333,129.107683,부산교통공사,부산광역시 금정구 반송로 지하 387,051-678-6407,2019-05-20
408,금사역,S2604,부산도시철도 4호선,Geumsa,錦絲,일반역,,,35.215829,129.115153,부산교통공사,부산광역시 금정구 반송로 지하 465,051-678-6408,2019-05-20
409,반여농산물시장역,S2604,부산도시철도 4호선,Banyeo Agricultural Market,盤如農産物市場,일반역,,,35.217779,129.124061,부산교통공사,부산광역시 해운대구 반송로 550,051-678-6409,2019-05-20
410,석대역,S2604,부산도시철도 4호선,Seokdae,石坮,일반역,,,35.218111615,129.137179,부산교통공사,부산광역시 해운대구 석대천로 121,051-678-6410,2019-05-20
411,영산대역,S2604,부산도시철도 4호선,Youngsan Univ.,靈山大,일반역,,,35.225777,129.146149,부산교통공사,부산광역시 해운대구 반송로 803,051-678-6411,2019-05-20
412,동부산대학역,S2604,부산도시철도 4호선,Dong-Pusan College,東釜山大學,일반역,,,35.232506,129.154024,부산교통공사,부산광역시 해운대구 반송로 917,051-678-6412,2019-05-20
413,고촌역,S2604,부산도시철도 4호선,Gochon,古村,일반역,,,35.236031,129.160443699,부산교통공사,부산광역시 기장군 철마면 반송로 991,051-678-6413,2019-05-20
414,안평역,S2604,부산도시철도 4호선,Anpyeong,安平,일반역,,,35.237363,129.171823,부산교통공사,부산광역시 기장군 철마면 반송로 1101,051-678-6414,2019-05-20
